日付,PCR検査陽性者数,抗原検査陽性者数,PCR検査陰性者数,抗原検査陰性者数,検査人数（７日間移動平均）,陽性率
2月15日,8,0
2月16日,5,0
2月17日,3,0
2月18日,0,0
2月19日,3,0
2月20日,2,0
2月21日,2,0
2月22日,1,0
2月23日,1,0
2月24日,1,0
2月25日,0,0
2月26日,3,0
2月27日,1,0
2月28日,0,0
2月29日,1,0
3月1日,2,0
3月2日,0,0
3月3日,1,0
3月4日,4,0
3月5日,8,0
3月6日,6,0
3月7日,6,0
3月8日,0,0
3月9日,0,0
3月10日,3,0
3月11日,5,0
3月12日,2,0
3月13日,2,0
3月14日,7,0
3月15日,0,0
3月16日,0,0
3月17日,11,0
3月18日,4,0
3月19日,5,0
3月20日,6,0
3月21日,0,0
3月22日,0,0
3月23日,12,0
3月24日,14,0
3月25日,27,0
3月26日,27,0
3月27日,32,0
3月28日,49,0
3月29日,46,0
3月30日,0,0
3月31日,46,0
4月1日,54,0
4月2日,69,0
4月3日,78,0
4月4日,4,0
4月5日,61,0
4月6日,79,0
4月7日,60,0
4月8日,125,0
4月9日,90,0
4月10日,143,0
4月11日,159,0
4月12日,6,0
4月13日,74,0
4月14日,26,0
4月15日,33,0
4月16日,136,0
4月17日,84,0
4月18日,75,0
4月19日,60,0
4月20日,59,0
4月21日,25,0
4月22日,40,0
4月23日,75,0
4月24日,40,0
4月25日,47,0
4月26日,35,0
4月27日,28,0
4月28日,4,0
4月29日,32,0
4月30日,46,0
5月1日,18,0
5月2日,19,0
5月3日,32,0
5月4日,7,0
5月5日,9,0
5月6日,7,0
5月7日,25,0
5月8日,20,0
5月9日,28,0
5月10日,19,0
5月11日,25,0
5月12日,15,0
5月13日,10,0
5月14日,15,0
5月15日,9,0
5月16日,5,0
5月17日,3,0
5月18日,11,0
5月19日,11,0
5月20日,7,0
5月21日,10,1
5月22日,8,0
5月23日,9,0
5月24日,5,0
5月25日,10,0
5月26日,21,0
5月27日,12,0
5月28日,19,1
5月29日,20,5
5月30日,14,0
5月31日,12,0
6月1日,27,0
6月2日,23,1
6月3日,28,1
6月4日,38,1
6月5日,16,2
6月6日,30,2
6月7日,3,1
6月8日,23,0
6月9日,23,2
6月10日,41,0
6月11日,31,0
6月12日,56,1
6月13日,27,0
6月14日,13,1
6月15日,21,3
6月16日,30,1
6月17日,29,0
6月18日,37,4
6月19日,75,3
6月20日,24,3
6月21日,17,0
6月22日,47,2
6月23日,66,3
6月24日,54,1
6月25日,63,1
6月26日,71,4
6月27日,59,2
6月28日,29,3
6月29日,86,11
6月30日,74,7
7月1日,128,4
7月2日,127,5
7月3日,133,8
7月4日,78,3
7月5日,85,7
7月6日,110,15
7月7日,194,13
7月8日,207,13
7月9日,174,12
7月10日,212,21
7月11日,177,7
7月12日,50,3
7月13日,147,21
7月14日,207,13
7月15日,274,13
7月16日,321,21
7月17日,244,17
7月18日,181,11
7月19日,75,2
7月20日,224,28
7月21日,257,23
7月22日,308,24
7月23日,225,23
7月24日,101,14
7月25日,125,21
7月26日,84,6
7月27日,160,42
7月28日,262,33
